"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","125","Open Burger menu and check logout link visibility","Product page tests after login","2026-01-15","passed","2026-01-15","","","",""
"","5672","Login as performance glitch user","SauceDemo login test","2026-01-15","passed","2026-01-15","","","",""
"","118","Check product title after login","Product page tests after login","2026-01-15","passed","2026-01-15","","","",""
"","468","Remove all products from cart","Product page tests after login","2026-01-15","passed","2026-01-15","","","",""
"","409","Login as locked out user","SauceDemo login test","2026-01-15","passed","2026-01-15","","","",""
"","10245","Logout from the application","Product page tests after login","2026-01-15","passed","2026-01-15","","","",""
"","329","Check inventory items after login","Product page tests after login","2026-01-15","passed","2026-01-15","","","",""
"","214","Sort products by Price (low to high)","Product page tests after login","2026-01-15","passed","2026-01-15","","","",""
"","349","Login with invalid username and password","SauceDemo login test","2026-01-15","passed","2026-01-15","","","",""
"","388","Login with error credentials","SauceDemo login test","2026-01-15","passed","2026-01-15","","","",""
"","629","Login as problem user","SauceDemo login test","2026-01-15","passed","2026-01-15","","","",""
"","1514","Login as standart user","SauceDemo login test","2026-01-15","passed","2026-01-15","","","",""
"","563","Login with empty username and password","SauceDemo login test","2026-01-15","passed","2026-01-15","","","",""
"","496","Add all products to cart","Product page tests after login","2026-01-15","passed","2026-01-15","","","",""
